"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"2373" 1434 "90min" 1 "K21" 1 1 NA 0 "DMSO" 890.0039139 1878.970646 988.9667319 0 0 37 37.99394087 24.70097357 1900.756757 18.18486154 0.009567169 1010.752843 18.18486154 0.017991403 2.368055556 0.078742599 0.033252006 0.42274204 0.014075254 0.033295137 1.266891892 0.052392103 0.041354833 0.381756757 0.041099747 0.107659514 0.885135135 0.054153671 0.061181247 2.351351351 0.361183291 0.153606687 1617 2031192.75 819.65332 5855097.5 0.506897539
"2381" 1434 "90min" 1 "K22" 1 1 144 0.1 "DMSO" 824.6536204 1524.074364 699.4207436 1107.585127 0.404522613 11 12.02294478 7.343532684 1542.727273 13.32734714 0.008638823 718.0736524 13.32734714 0.018559861 7.4875 0.319776398 0.042708033 0.133774073 0.005679573 0.042456452 6.375 0.340036763 0.0533391 0.454545455 0.063065622 0.138744369 5.920454545 0.317572468 0.05363988 13.25 1.897366596 0.143197479 1578 2000861 819.045288 5883856.5 0.519040106
"2389" 1434 "90min" 1 "K23" 1 1 141 25 "DMSO" 1147.123288 1147.123288 0 0 0 0 0 0 1147.123288 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 1 1500050 0 0 0
"2397" 1434 "90min" 1 "K3" 1 1 144 0.1 "DMSO" 994.5303327 1702.835616 708.3052838 1277.136986 0.398989899 2 2.643382353 1.335187761 1722 16.97056275 0.009855147 727.4696673 16.97056275 0.023328207 34 NA NA 0.029411765 NA NA 11.9375 0.441941738 0.037021297 0.5625 0.088388348 0.15713484 11.375 0.530330086 0.046622425 20.55 4.171930009 0.203013626 1487 2106994 902.752625 6741432.5 0.607096587
"2405" 1434 "90min" 1 "K4" 1 1 NA 0 "DMSO" 953.0117417 2045.469667 1092.457926 0 0 34 35.03584236 22.69819193 2065.441176 19.18520765 0.009288673 1112.429435 19.18520765 0.017246224 2.568181818 0.088889135 0.034611699 0.389828566 0.013361082 0.034274251 1.389705882 0.051167301 0.036818799 0.411764706 0.057812161 0.140400963 0.977941176 0.065065441 0.066533082 2.428921569 0.412928867 0.170005023 1430 2064735.5 946.166992 6855840.5 0.661655239
"2413" 1434 "90min" 1 "K5" 1 1 NA 0 "DMSO" 952.4363992 1996.121331 1043.684932 0 0 36 36.46829097 24.03337969 2017.777778 16.54105043 0.008197657 1065.341379 16.54105043 0.015526526 2.467857143 0.092667065 0.037549607 0.405766798 0.015285488 0.037670622 1.315972222 0.063288675 0.048092713 0.399305556 0.058397074 0.146246585 0.916666667 0.05976143 0.065194288 2.351851852 0.437847871 0.186171536 1607 2146323.25 824.725952 6317582.5 0.513208433
"2421" 1434 "90min" 2 "F10" 1 1 143 0.5 "DMSO" 853.072407 1831.46771 978.3953033 0 0 35 34.56765979 23.36578581 1843.628571 9.159006221 0.004967924 990.5561644 9.159006221 0.009246327 2.602941176 0.089562215 0.034408083 0.384619302 0.01313754 0.034157256 1.285714286 0.064820372 0.050415845 0.382142857 0.052007999 0.136095698 0.903571429 0.074789621 0.082771122 2.423809524 0.498515537 0.205674386 1974 1793659 615.485168 4691183 0.311795931
"2427" 1434 "90min" 2 "F11" 1 1 NA 0 "Media" 867.9119374 1826.491194 958.5792564 0 0 36 36.6733763 24.03337969 1841.277778 15.25518387 0.008285107 973.3658404 15.25518387 0.015672611 2.453571429 0.08620744 0.035135492 0.408048693 0.014057154 0.034449698 1.232638889 0.067828419 0.055026999 0.357638889 0.067828419 0.189656162 0.875 0.042257713 0.048294529 2.550925926 0.590358304 0.231429027 2002 1831674.875 604.384033 4787631 0.301890126
"2433" 1434 "90min" 2 "F12" 1 1 NA 0 "DMSO" 978.0273973 2104.166341 1126.138943 0 0 35 35.61344906 23.36578581 2115.285714 11.34634284 0.005363976 1137.258317 11.34634284 0.009976927 2.525735294 0.073979239 0.029290179 0.396255344 0.011652799 0.029407297 1.317857143 0.063179084 0.047940768 0.417857143 0.060199249 0.144066579 0.9 0.066421116 0.07380124 2.204761905 0.391569062 0.177601519 1964 1697198.875 599.708252 4454466 0.305350434
"2439" 1434 "90min" 2 "F13" 1 1 NA 0 "DMSO" 971.8747554 2230.455969 1258.581213 0 0 35 35.36097563 23.36578581 2247.8 15.59939667 0.006939851 1275.925245 15.59939667 0.012225949 2.544117647 0.08073029 0.031732137 0.393446182 0.012434186 0.03160327 1.335714286 0.058876027 0.044078309 0.410714286 0.057293656 0.139497597 0.925 0.062131265 0.067168935 2.3 0.380380786 0.165382951 2073 1769037.125 603.1073 4768926.5 0.290934539
