"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"412" 1083 "90min" 1 "K5" 1 6 NA 0 "DMSO" 955.7514677 1961.966732 1006.215264 0 0 54 54.73622918 36.05006954 1983.425926 18.46117992 0.009307723 1027.674458 18.46117992 0.017964035 1.643867925 0.056946681 0.034641884 0.609026194 0.020772703 0.034108062 1.115740741 0.041006297 0.036752532 0.363425926 0.036572802 0.100633444 0.752314815 0.045367607 0.060304019 2.108024691 0.4019833 0.190691932 1829 2031310.5 665.702576 14902456 0.363970791
"413" 1083 "90min" 2 "F10" 1 6 143 0.5 "DMSO" 957.9315068 1814.988258 857.0567515 0 0 51 52.22889744 34.0472879 1827.803922 13.25597165 0.007252404 869.8724147 13.25597165 0.015238984 1.7275 0.100031883 0.057905576 0.581128205 0.040235114 0.069236209 1.191176471 0.063012604 0.05289947 0.382352941 0.046177407 0.120771681 0.808823529 0.063012604 0.077906492 2.153594771 0.373932759 0.173631903 1621 2414140 723.135864 17974652 0.44610479
"414" 1083 "90min" 2 "F11" 1 6 NA 0 "Media" 937.5107632 1747.528376 810.0176125 0 0 63 63.59776393 42.05841446 1764.857143 14.81592119 0.008394969 827.3463796 14.81592119 0.017907761 1.419354839 0.087943182 0.061959969 0.707624633 0.051246316 0.072420198 1.03968254 0.05865339 0.056414711 0.333333333 0.05939887 0.178196611 0.706349206 0.06412693 0.090786441 2.21957672 0.592535253 0.266958672 1655 2229692.75 762.955811 15922676 0.46100049
"415" 1083 "90min" 2 "F12" 1 6 NA 0 "DMSO" 996.7142857 1939 942.2857143 0 0 51 52.49687637 34.0472879 1987.215686 34.03075887 0.017124844 990.5014006 34.03075887 0.034357103 1.7225 0.136674237 0.079346436 0.58410989 0.045927834 0.078628756 1.178921569 0.067337313 0.057117721 0.382352941 0.038824643 0.101541375 0.796568627 0.061036794 0.076624652 2.104575163 0.266584955 0.126669249 1798 2424694.75 684.640076 16183845 0.380778685
"416" 1083 "90min" 2 "F13" 1 6 NA 0 "DMSO" 929.5616438 1827.780822 898.2191781 0 0 54 54.9051835 36.05006954 1843.12963 14.66229447 0.007955108 913.5679858 14.66229447 0.016049484 1.643867925 0.105144779 0.063961817 0.610906075 0.041660165 0.068194059 1.134259259 0.053486089 0.047155082 0.368055556 0.051031036 0.138650363 0.766203704 0.048844528 0.063748749 2.137345679 0.441895754 0.206749782 1714 2193525 754.629211 15628030 0.440273752
"417" 1083 "90min" 2 "F14" 1 6 NA 0 "Media" 985.5753425 2016.213307 1030.637965 0 0 50 50.81427824 33.37969402 2033.18 17.14129755 0.008430782 1047.604658 17.14129755 0.016362372 1.772959184 0.087177491 0.049170614 0.565388353 0.028262366 0.049987528 1.2125 0.067997974 0.056080803 0.405 0.053927389 0.133154046 0.8075 0.062932179 0.077934587 2.03 0.316657716 0.155989022 1729 2335091 706.902649 16357932 0.408850578
"418" 1083 "90min" 2 "F15" 1 6 NA 0 "Media" 951.5479452 1881.434442 929.8864971 0 0 53 53.69455128 35.38247566 1895.660377 14.24233045 0.007513123 944.1124322 14.24233045 0.015085418 1.677884615 0.083380454 0.049693795 0.597435897 0.029762803 0.049817566 1.146226415 0.068183193 0.059484925 0.379716981 0.048797217 0.12850944 0.766509434 0.069500864 0.090671896 2.061320755 0.384373916 0.186469726 1701 2298914.5 758.255859 16422061 0.44577064
"419" 1083 "90min" 2 "F2" 1 6 141 25 "DMSO" 1733.18591 1733.18591 0 0 0 0 0 0 1733.18591 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 429 5376522 400.504822 8214112.5 0.933577674
"420" 1083 "90min" 2 "F20" 1 6 NA 0 "DMSO" 953.0039139 1925.409002 972.4050881 0 0 59 59.98360997 39.38803894 1952.644068 23.05223657 0.011805652 999.6401539 23.05223657 0.023060535 1.504310345 0.090580236 0.060213796 0.667411516 0.045316039 0.067898198 1.108050847 0.049007538 0.0442286 0.36440678 0.035111703 0.096353045 0.743644068 0.042949755 0.057755796 2.070621469 0.337904561 0.163189924 1921 2391309.5 677.946106 16143102 0.352913121
"421" 1083 "90min" 2 "F21" 1 6 NA 0 "DMSO" 1008.266145 1972.148728 963.8825832 0 0 60 60.80437359 40.05563282 1992.566667 18.11392073 0.009090748 984.3005219 18.11392073 0.018402836 1.480932203 0.06488368 0.043812728 0.676543795 0.030090015 0.044476079 1.075 0.061754023 0.057445603 0.354166667 0.046977877 0.132643417 0.720833333 0.062464679 0.086656202 2.094444444 0.48262335 0.230430247 1713 2479295.75 709.727051 16478334 0.414318185
"422" 1083 "90min" 2 "F22" 1 6 142 10 "DMSO" 1035.133072 2068.213307 1033.080235 0 0 87 87.81806017 58.08066759 2082.494253 18.843217 0.009048388 1047.36118 18.843217 0.017991136 1.026162791 0.054625325 0.053232611 0.977113326 0.049696642 0.050860673 0.806034483 0.062525055 0.077571191 0.265804598 0.04178345 0.157196116 0.540229885 0.058736246 0.10872454 2.076628352 0.363734397 0.175156232 1711 2437881.5 798.872742 18553902 0.466903999
