"Cell.line" "TimePoint" "Plate" "Well" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv"
"24" 1434 "90min" 1 "K17" 1048 10 "DMSO" 936.5342466 936.5342466 0 0 0 0 0 0 936.5342466 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"25" 1434 "90min" 1 "K13" 1049 10 "DMSO" 943.4951076 943.4951076 0 0 0 0 0 0 943.4951076 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"26" 1434 "90min" 1 "F18" 1049 10 "DMSO" 923.8747554 1791.694716 867.8199609 0 0 34 37.92153912 20.42246471 1811.441176 13.67410997 0.007548746 887.5664211 13.67410997 0.015406295 2.636060606 0.07254048 0.027518517 0.379632987 0.010464672 0.027565235 1.330588235 0.068487609 0.051471678 0.459705882 0.067306864 0.146412883 0.870882353 0.057596699 0.066136027 1.943440915 0.364049275 0.187322018
"27" 1434 "90min" 1 "K18" 1049 10 "DMSO" 998.6751468 998.6751468 0 0 0 0 0 0 998.6751468 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"28" 1434 "90min" 1 "K14" 1050 10 "DMSO" 1039.287671 2198.720157 1159.432485 0 0 36 40.68945546 21.62378616 2221.138889 17.909539 0.008063223 1181.851218 17.909539 0.015153802 2.457142857 0.074973385 0.030512424 0.407342632 0.012350988 0.030320883 1.256666667 0.041747541 0.033220855 0.423055556 0.062373046 0.147434645 0.833611111 0.060102426 0.072098878 2.025356409 0.392522314 0.193804069
"29" 1434 "90min" 1 "F19" 1050 10 "DMSO" 1020.97456 2005.365949 984.3913894 0 0 36 41.48926159 21.62378616 2033.75 15.81567938 0.007776609 1012.77544 15.81567938 0.015616176 2.410571429 0.084014805 0.034852651 0.4153495 0.015098919 0.036352323 1.1975 0.06308158 0.052677728 0.381944444 0.029454027 0.077115997 0.815555556 0.062994079 0.077240696 2.147127391 0.22668815 0.105577411
"30" 1434 "90min" 1 "K19" 1050 10 "DMSO" 1055.473581 2218.526419 1163.052838 0 0 37 41.56611511 22.22444689 2228.513514 15.80545198 0.007092374 1173.039932 15.80545198 0.013473925 2.416388889 0.155841545 0.06449357 0.416118882 0.036752085 0.088321117 1.256486486 0.041178218 0.032772512 0.432702703 0.063010081 0.145619799 0.823783784 0.06188481 0.075122637 1.958872016 0.397843188 0.203098102
"31" 1434 "90min" 1 "F4" NA 0 "DMSO" 1133.937378 2409.608611 1275.671233 0 0 37 41.67857159 22.22444689 2429.810811 18.75994231 0.007720742 1295.873433 18.75994231 0.014476678 2.399166667 0.078171058 0.032582588 0.417244685 0.013688934 0.032807928 1.245675676 0.054698189 0.043910458 0.393783784 0.047571662 0.120806555 0.851891892 0.065142486 0.07646802 2.198174618 0.328300095 0.149351236
"32" 1434 "90min" 1 "K4" NA 0 "DMSO" 1100.776908 2073.712329 972.9354207 0 0 37 41.16659945 22.22444689 2096.243243 20.14448561 0.009609803 995.4663352 20.14448561 0.02023623 2.430555556 0.100795251 0.041470046 0.412119326 0.01715449 0.041625056 1.171891892 0.061365835 0.052364758 0.354594595 0.062698334 0.176816948 0.817297297 0.069548091 0.085095217 2.410170313 0.650589248 0.269934969
"33" 1434 "90min" 1 "F5" NA 0 "DMSO" 1199.755382 2548.383562 1348.62818 0 0 35 39.59959746 21.02312544 2573.542857 19.78017852 0.007685972 1373.787476 19.78017852 0.014398281 2.525588235 0.089821074 0.035564417 0.39643205 0.014056365 0.035457186 1.293714286 0.061457097 0.047504382 0.433428571 0.062069357 0.143205503 0.860285714 0.072861097 0.084694069 2.038084129 0.405455625 0.198939592
"34" 1434 "90min" 1 "K5" NA 0 "DMSO" 1155.772994 2363.575342 1207.802348 0 0 35 40.22653914 21.02312544 2407.6 22.4580655 0.009327989 1251.827006 22.4580655 0.017940231 2.485294118 0.073453151 0.029555114 0.402708371 0.011914203 0.029585189 1.263714286 0.04994619 0.039523324 0.392857143 0.044627308 0.113596785 0.870857143 0.056743563 0.065158291 2.246776671 0.298630293 0.132914988
"35" 1434 "90min" 1 "F20" NA 0 "DMSO" 966.1643836 1729.088063 762.9236791 0 0 37 41.49437062 22.22444689 1746.891892 15.69993592 0.008987354 780.7275083 15.69993592 0.020109367 2.409722222 0.076922451 0.031921709 0.415400647 0.01338336 0.032217956 1.128378378 0.036248641 0.032124544 0.344324324 0.061848405 0.179622527 0.784054054 0.063441113 0.080914208 2.392154858 0.675261635 0.28228174
"36" 1434 "90min" 1 "K20" NA 0 "DMSO" 1048.735812 2175.577299 1126.841487 0 0 36 40.33925604 21.62378616 2196.888889 14.18203648 0.006455509 1148.153077 14.18203648 0.012352043 2.485714286 0.151430157 0.060920178 0.403836781 0.026059176 0.064528982 1.2575 0.051234754 0.040743343 0.395833333 0.047471796 0.119928748 0.861666667 0.050171136 0.058225689 2.208008535 0.289262032 0.131005849
"37" 1434 "90min" 1 "F21" NA 0 "DMSO" 1069.483366 2060.716243 991.2328767 0 0 37 41.13601406 22.22444689 2084.027027 15.68170641 0.007524714 1014.543661 15.68170641 0.015456906 2.430555556 0.075477317 0.031053525 0.411813135 0.01274732 0.030954137 1.192972973 0.062798835 0.052640618 0.365405405 0.045801176 0.125343456 0.827567568 0.068166683 0.082369931 2.321443236 0.506386484 0.218134338
"38" 1434 "90min" 1 "K21" NA 0 "DMSO" 1039.479452 2024.753425 985.2739726 0 0 35 40.20287731 21.02312544 2050.257143 22.94154061 0.011189592 1010.777691 22.94154061 0.02269692 2.499705882 0.224735337 0.089904712 0.402471492 0.02822757 0.070135576 1.224571429 0.189105368 0.154425756 0.338571429 0.064541043 0.190627553 0.886 0.183674905 0.207308019 2.729950823 0.789025409 0.289025503
"39" 1434 "90min" 1 "L23" NA 0 "DMSO" 1233.690802 2380.637965 1146.947162 0 0 37 42.29382073 22.22444689 2396.189189 16.1397333 0.006735584 1162.498387 16.1397333 0.013883661 2.367777778 0.119358071 0.050409322 0.423403952 0.021816399 0.051526205 1.232702703 0.067150273 0.054474021 0.395405405 0.055357153 0.140001003 0.837297297 0.064792346 0.077382724 2.164620353 0.385708856 0.178187762
"40" 1434 "90min" 1 "M23" NA 0 "DMSO" 1158.015656 2192.810176 1034.794521 0 0 38 42.49769221 22.82510762 2212.552632 19.52503226 0.008824663 1054.536976 19.52503226 0.018515266 2.354594595 0.09965481 0.042323553 0.425444912 0.018070967 0.042475458 1.216842105 0.06924712 0.056907235 0.388157895 0.056752438 0.146209672 0.828684211 0.061034817 0.073652685 2.188407577 0.422182412 0.192917634
"41" 1434 "90min" 1 "N23" NA 0 "DMSO" 1187.726027 2219.890411 1032.164384 0 0 43 47.77852206 25.82841125 2243.465116 19.57810832 0.008726727 1055.739089 19.57810832 0.018544457 2.098095238 0.1258578 0.059986695 0.478311363 0.028902531 0.060426185 1.234651163 0.079383003 0.064295896 0.399302326 0.065188202 0.163255252 0.835348837 0.076853256 0.092001393 2.161552152 0.495965123 0.229448604
"42" 1434 "90min" 1 "O23" NA 0 "DMSO" 1096.696673 1096.696673 0 0 0 0 0 0 1096.696673 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"43" 1434 "90min" 1 "F10" NA 0 "Media" 1261.596869 2809.354207 1547.757339 0 0 40 45.42841105 24.02642907 2838.925 24.98552145 0.00880105 1577.328131 24.98552145 0.015840408 2.205128205 0.119711755 0.054287889 0.454784373 0.024556467 0.053995845 1.32875 0.061900976 0.046585871 0.41875 0.060518592 0.144522011 0.91 0.056295921 0.06186365 2.222352774 0.373736495 0.168171543
"44" 1434 "90min" 1 "K10" NA 0 "Media" 1152.821918 2388.610568 1235.78865 0 0 39 43.11377804 23.42576835 2408.333333 19.21393865 0.007978106 1255.511416 19.21393865 0.015303675 2.332105263 0.200501505 0.085974466 0.431612554 0.034065462 0.078926022 1.304102564 0.062438093 0.047878208 0.407692308 0.055081831 0.135106378 0.896410256 0.063804272 0.071177535 2.241779918 0.357678271 0.159551019
"45" 1434 "90min" 1 "F11" NA 0 "Media" 1101.193738 2203.575342 1102.381605 0 0 36 41.05505243 21.62378616 2218.444444 17.9705226 0.008100506 1117.250707 17.9705226 0.016084593 2.435428571 0.077813611 0.031950685 0.411002627 0.012805892 0.031157689 1.263888889 0.039876794 0.03155087 0.395 0.056391489 0.142763263 0.868888889 0.066666667 0.076726343 2.260205469 0.462667093 0.204701342
"46" 1434 "90min" 1 "K11" NA 0 "Media" 1141.573386 2348.677104 1207.103718 0 0 37 42.48580376 22.22444689 2365.405405 15.74529817 0.00665649 1223.83202 15.74529817 0.012865571 2.361111111 0.154896791 0.065603347 0.425325896 0.028266315 0.066458016 1.242972973 0.051254532 0.041235435 0.402432432 0.052143254 0.129570208 0.840540541 0.056023108 0.066651286 2.126504171 0.321653229 0.151259157
"47" 1434 "90min" 1 "F15" NA 0 "Media" 1053.07045 2105.174168 1052.103718 0 0 38 43.28064502 22.82510762 2123.026316 15.82930372 0.007456009 1069.955866 15.82930372 0.014794352 2.314054054 0.120103184 0.051901633 0.433283062 0.022627783 0.052224019 1.219736842 0.061753076 0.050628196 0.373684211 0.029447255 0.078802513 0.846052632 0.068162741 0.080565604 2.286404133 0.353341062 0.154540073
"48" 1434 "90min" 1 "K15" NA 0 "Media" 1045.003914 2136.41683 1091.412916 0 0 36 39.97139352 21.62378616 2154.111111 14.45145129 0.006708777 1109.107197 14.45145129 0.013029806 2.503428571 0.102983233 0.041136877 0.400154105 0.017627502 0.044051783 1.288055556 0.058885819 0.045716832 0.398611111 0.058853463 0.147646319 0.889444444 0.065331876 0.073452452 2.290847953 0.453638253 0.198021982
"49" 1434 "90min" 1 "A1" NA 0 NA 210.2759295 210.2759295 0 0 0 0 0 0 210.2759295 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"50" 1434 "90min" 1 "B1" NA 0 NA 181.704501 181.704501 0 0 0 0 0 0 181.704501 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"51" 1434 "90min" 1 "C1" NA 0 NA 193.4050881 193.4050881 0 0 0 0 0 0 193.4050881 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"52" 1434 "90min" 1 "D1" NA 0 NA 197.3483366 197.3483366 0 0 0 0 0 0 197.3483366 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"53" 1434 "90min" 1 "E1" NA 0 NA 199.8101761 199.8101761 0 0 0 0 0 0 199.8101761 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"54" 1434 "90min" 1 "F1" NA 0 NA 212.8551859 212.8551859 0 0 0 0 0 0 212.8551859 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"55" 1434 "90min" 1 "G1" NA 0 NA 234.9178082 234.9178082 0 0 0 0 0 0 234.9178082 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"56" 1434 "90min" 1 "H1" NA 0 NA 206.4657534 206.4657534 0 0 0 0 0 0 206.4657534 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"57" 1434 "90min" 1 "I1" NA 0 NA 203.0117417 203.0117417 0 0 0 0 0 0 203.0117417 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"58" 1434 "90min" 1 "J1" NA 0 NA 195.4520548 195.4520548 0 0 0 0 0 0 195.4520548 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"59" 1434 "90min" 1 "K1" NA 0 NA 205 205 0 0 0 0 0 0 205 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"60" 1434 "90min" 1 "L1" NA 0 NA 210.4598826 210.4598826 0 0 0 0 0 0 210.4598826 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"61" 1434 "90min" 1 "M1" NA 0 NA 217.6555773 217.6555773 0 0 0 0 0 0 217.6555773 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"62" 1434 "90min" 1 "N1" NA 0 NA 204.5068493 204.5068493 0 0 0 0 0 0 204.5068493 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"63" 1434 "90min" 1 "O1" NA 0 NA 196.8277886 196.8277886 0 0 0 0 0 0 196.8277886 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"64" 1434 "90min" 1 "P1" NA 0 NA 225.9843444 225.9843444 0 0 0 0 0 0 225.9843444 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"65" 1434 "90min" 1 "A2" NA 0 NA 205.2191781 205.2191781 0 0 0 0 0 0 205.2191781 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"66" 1434 "90min" 1 "P2" NA 0 NA 217.2661448 217.2661448 0 0 0 0 0 0 217.2661448 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"67" 1434 "90min" 1 "A3" NA 0 NA 208.2054795 208.2054795 0 0 0 0 0 0 208.2054795 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"68" 1434 "90min" 1 "P3" NA 0 NA 206.9863014 206.9863014 0 0 0 0 0 0 206.9863014 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"69" 1434 "90min" 1 "A4" NA 0 NA 212.1702544 212.1702544 0 0 0 0 0 0 212.1702544 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"70" 1434 "90min" 1 "P4" NA 0 NA 202 202 0 0 0 0 0 0 202 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"71" 1434 "90min" 1 "A5" NA 0 NA 208.9726027 208.9726027 0 0 0 0 0 0 208.9726027 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"72" 1434 "90min" 1 "P5" NA 0 NA 212.4050881 212.4050881 0 0 0 0 0 0 212.4050881 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"73" 1434 "90min" 1 "A6" NA 0 NA 206.7690802 206.7690802 0 0 0 0 0 0 206.7690802 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"74" 1434 "90min" 1 "P6" NA 0 NA 220.2465753 220.2465753 0 0 0 0 0 0 220.2465753 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"75" 1434 "90min" 1 "A7" NA 0 NA 206.2113503 206.2113503 0 0 0 0 0 0 206.2113503 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"76" 1434 "90min" 1 "P7" NA 0 NA 239.3639922 239.3639922 0 0 0 0 0 0 239.3639922 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"77" 1434 "90min" 1 "A8" NA 0 NA 209.0410959 209.0410959 0 0 0 0 0 0 209.0410959 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"78" 1434 "90min" 1 "P8" NA 0 NA 206.7142857 206.7142857 0 0 0 0 0 0 206.7142857 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"79" 1434 "90min" 1 "A9" NA 0 NA 210.9197652 210.9197652 0 0 0 0 0 0 210.9197652 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"80" 1434 "90min" 1 "P9" NA 0 NA 208.4520548 208.4520548 0 0 0 0 0 0 208.4520548 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"81" 1434 "90min" 1 "A10" NA 0 NA 202.9197652 202.9197652 0 0 0 0 0 0 202.9197652 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"82" 1434 "90min" 1 "P10" NA 0 NA 199.148728 199.148728 0 0 0 0 0 0 199.148728 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
"83" 1434 "90min" 1 "A11" NA 0 NA 201.0802348 201.0802348 0 0 0 0 0 0 201.0802348 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA
