"Cell.line" "Timepoint" "Plate" "Well" "Rep" "Batch" "Chemical.Number" "Chemical.Concentration" "Solvent" "baseline" "height" "amplitude" "notch.amp" "notch.frac" "n.peaks" "n.peaks.expected" "BPM" "peak.max.avg" "peak.max.sd" "peak.max.cv" "peak.amp.avg" "peak.amp.sd" "peak.amp.cv" "peak.spacing.avg" "peak.spacing.sd" "peak.spacing.cv" "peak.freq.avg" "peak.freq.sd" "peak.freq.cv" "peak.width.avg" "peak.width.sd" "peak.width.cv" "rise.times.avg" "rise.times.sd" "rise.times.cv" "decay.times.avg" "decay.times.sd" "decay.times.cv" "decay.rise.ratio.avg" "decay.rise.ratio.sd" "decay.rise.ratio.cv" "Total.Cells" "All.Nuclei.Mean.Integr.Itensity" "Positive.W2.Mean.Stain.Area" "Positive.W2.Mean.Stain.Integr.Intens" "Cell.Positive.W2.Mean.Stain.Area"
"2230" 1434 "90min" 1 "F14" 2 13 NA 0 "Media" 2566.864971 5873.727984 3306.863014 0 0 30 33.76004331 18.02162595 5920.266667 37.02183264 0.006253406 3353.401696 37.02183264 0.011040083 2.961034483 0.088291111 0.029817657 0.33800604 0.009945769 0.029424826 1.666333333 0.060314311 0.036195826 0.45 0.0623671 0.138593556 1.216333333 0.056841178 0.04673158 2.766237079 0.48256635 0.174448659 1378 2918728 484.391327 8808856 0.351517654
"2231" 1434 "90min" 1 "F14" 3 14 NA 0 "Media" 2314.401174 5571.767123 3257.365949 0 0 34 38.21557726 20.42450941 5579.176471 31.64047139 0.005671172 3264.775296 31.64047139 0.00969147 2.617272727 0.098971989 0.037814931 0.382614911 0.014682604 0.038374364 1.319411765 0.06271345 0.047531371 0.426764706 0.062314967 0.146017152 0.892647059 0.06292414 0.070491623 2.144049034 0.395612108 0.184516353 2115 2678761 450.484253 7635186.5 0.212994919
"2232" 1434 "90min" 1 "F14" 4 15 NA 0 "Media" 2270.589041 4753.320939 2482.731898 0 0 32 36.83712623 19.22114326 4798.8125 32.39816552 0.006751288 2528.223459 32.39816552 0.012814597 2.713548387 0.072688761 0.026787346 0.368776917 0.009870214 0.026764727 1.3125 0.063601582 0.048458349 0.40625 0.055168364 0.13579905 0.90625 0.055168364 0.060875436 2.271248222 0.337583193 0.148633333 1335 3687954 431.831177 6996228.5 0.323469046
"2233" 1434 "90min" 1 "F14" 5 18 NA 0 "Media" 3178.849315 6732.547945 3553.69863 0 0 38 42.50044987 21.14243323 6744.421053 24.81676807 0.003679599 3565.571738 24.81676807 0.006960109 2.539459459 0.073217558 0.028831946 0.394106545 0.011482176 0.0291347 1.571315789 0.06481454 0.041248577 0.491842105 0.071503365 0.145378697 1.079473684 0.070402218 0.065219022 2.261251269 0.490773844 0.217036404 1314 3602417.25 328.306946 5111912 0.249853079
"2237" 1434 "90min" 1 "F15" 1 1 NA 0 "Media" 872.0430528 1889.236791 1017.193738 0 0 35 35.51274878 23.36578581 1902.971429 10.91271712 0.005734567 1030.928376 10.91271712 0.01058533 2.533088235 0.077293368 0.030513492 0.395134896 0.012158832 0.030771344 1.328571429 0.061280112 0.046124815 0.375 0.052510503 0.140028008 0.953571429 0.068369363 0.071698208 2.60952381 0.521894577 0.199996097 1886 1965661.5 755.766541 5510474 0.400724571
"2238" 1434 "90min" 1 "F15" 2 13 NA 0 "Media" 2343.07045 5116.272016 2773.201566 0 0 31 34.86376087 18.62234682 5156.225806 32.45582606 0.006294493 2813.155356 32.45582606 0.011537161 2.866666667 0.073029674 0.025475468 0.349056476 0.008909219 0.025523719 1.617096774 0.045180641 0.027939355 0.419677419 0.060689586 0.144610081 1.197419355 0.062979771 0.052596253 2.921970357 0.503164364 0.172200366 1403 2785128.75 451.19342 8093899 0.321591889
"2239" 1434 "90min" 1 "F15" 3 14 NA 0 "Media" 2210.058708 4768.923679 2558.864971 0 0 37 41.66791957 22.22667201 4796.108108 30.5275684 0.006365071 2586.0494 30.5275684 0.011804712 2.399166667 0.072244624 0.030112382 0.417179811 0.01259454 0.030189715 1.195945946 0.062869329 0.052568705 0.377567568 0.021266223 0.056324285 0.818378378 0.064010134 0.078215818 2.174349314 0.20979138 0.096484672 1908 2448585.75 405.449341 6164364.5 0.212499655
"2240" 1434 "90min" 1 "F15" 4 15 NA 0 "Media" 2319.16047 5078.207436 2759.046967 0 0 32 36.9977207 19.22114326 5109.21875 29.38151095 0.005750686 2790.05828 29.38151095 0.010530788 2.701612903 0.069286688 0.025646416 0.37038463 0.009486433 0.025612382 1.3628125 0.037177376 0.02727989 0.4134375 0.059438739 0.143767169 0.949375 0.06226569 0.06558598 2.354018492 0.425343965 0.180688455 1183 3939083.75 462.910736 7206675 0.391302397
"2241" 1434 "90min" 1 "F15" 5 18 NA 0 "Media" 3085.111546 6728.234834 3643.123288 0 0 39 43.27709276 21.69881306 6739.051282 29.23223592 0.004337738 3653.939736 29.23223592 0.008000197 2.497105263 0.109121997 0.043699398 0.401308353 0.019944811 0.049699466 1.503846154 0.054416299 0.036184751 0.466666667 0.069028344 0.14791788 1.037179487 0.068477761 0.066023058 2.284443935 0.443202077 0.194008734 1439 3381643.75 353.356628 5586537 0.245557073
"2245" 1434 "90min" 1 "F2" 1 1 141 25 "DMSO" 1356.273973 1356.273973 0 0 0 0 0 0 1356.273973 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 15 1736484.5 281.96344 1761861.25 18.79756267
